Invoice ID,City,Product line,Unit price,Quantity,Date,Payment,Rating,year,month,day_of_week,profit,revenue,profit_margin,cost
750-67-8428,Yangon,Health and beauty,74.69,7,2019-01-05,Ewallet,9.1,2019,1,Saturday,522.8299999999999,478.8017017644921,1.0919551832695114,44.02829823550781
226-31-3081,Naypyitaw,Electronic accessories,15.28,5,2019-03-08,Cash,9.6,2019,3,Friday,76.39999999999999,24.82255837367611,3.077845516561293,51.57744162632388
631-41-3108,Yangon,Home and lifestyle,46.33,7,2019-03-03,Credit card,7.4,2019,3,Sunday,324.31,304.55029423530686,1.064881584876835,19.759705764693138
123-19-1176,Yangon,Health and beauty,58.22,8,2019-01-27,Ewallet,8.4,2019,1,Sunday,465.76,419.78533445543457,1.1095194657150325,45.97466554456544
373-73-7910,Yangon,Sports and travel,86.31,7,2019-02-08,Ewallet,5.3,2019,2,Friday,604.1700000000001,435.3524790814285,1.3877720445620705,168.81752091857157
699-14-3026,Naypyitaw,Electronic accessories,85.39,7,2019-03-25,Ewallet,4.1,2019,3,Monday,597.73,557.0572340158943,1.073013621402761,40.67276598410573
355-53-5943,Yangon,Electronic accessories,68.84,6,2019-02-25,Ewallet,5.8,2019,2,Monday,413.04,361.17979958756905,1.1435855506638248,51.86020041243097
315-22-5665,Naypyitaw,Home and lifestyle,73.56,10,2019-02-24,Ewallet,8.0,2019,2,Sunday,735.6,688.4110063352496,1.0685477036690054,47.1889936647505
665-32-9167,Yangon,Health and beauty,36.26,2,2019-01-10,Credit card,7.2,2019,1,Thursday,72.52,45.836231559384174,1.5821544994606518,26.683768440615818
365-64-0515,Yangon,Electronic accessories,46.95,5,2019-02-12,Ewallet,7.1,2019,2,Tuesday,234.75,176.5032683291402,1.330003700340791,58.24673167085978
252-56-2699,Yangon,Food and beverages,43.19,10,2019-02-07,Ewallet,8.2,2019,2,Thursday,431.9,427.376278786814,1.0105848673352378,4.523721213185973
829-34-3910,Yangon,Health and beauty,71.38,10,2019-03-29,Cash,5.7,2019,3,Friday,713.8,678.8011468668119,1.0515598025942274,34.998853133188064
299-46-1805,Mandalay,Sports and travel,93.72,6,2019-01-15,Cash,4.5,2019,1,Tuesday,562.3199999999999,514.694895006628,1.092530750655218,47.6251049933719
656-95-9349,Yangon,Health and beauty,68.93,7,2019-03-11,Credit card,4.6,2019,3,Monday,482.51000000000005,432.52335750423725,1.1155698105743874,49.9866424957628
765-26-6951,Yangon,Sports and travel,72.61,6,2019-01-01,Credit card,6.9,2019,1,Tuesday,435.65999999999997,340.94186029571705,1.2778131720819756,94.71813970428293
329-62-1586,Yangon,Food and beverages,54.67,3,2019-01-21,Credit card,8.6,2019,1,Monday,164.01,154.9370074410961,1.058559234547971,9.072992558903891
319-50-3348,Mandalay,Home and lifestyle,40.3,2,2019-03-11,Ewallet,4.4,2019,3,Monday,80.6,55.49514596445461,1.4523792774889788,25.104854035545383
300-71-4605,Naypyitaw,Electronic accessories,86.04,5,2019-02-25,Ewallet,4.8,2019,2,Monday,430.20000000000005,391.23854723382686,1.099584902974521,38.96145276617316
636-48-8204,Yangon,Electronic accessories,34.56,5,2019-02-17,Ewallet,9.9,2019,2,Sunday,172.8,161.35399599468406,1.070937220579855,11.446004005315967
549-59-1358,Yangon,Sports and travel,88.63,3,2019-03-02,Ewallet,6.0,2019,3,Saturday,265.89,159.03357681468373,1.6719110852284502,106.85642318531626
227-03-5010,Yangon,Home and lifestyle,52.59,8,2019-03-22,Credit card,8.5,2019,3,Friday,420.72,386.95902100129854,1.087246910309369,33.76097899870146
649-29-6775,Mandalay,Fashion accessories,33.52,1,2019-02-08,Cash,6.7,2019,2,Friday,33.52,-9.197073775129148,-3.6446375031420586,42.71707377512915
189-17-4241,Yangon,Fashion accessories,87.67,2,2019-03-10,Credit card,7.7,2019,3,Sunday,175.34,125.22620327515745,1.400186186390466,50.11379672484255
145-94-9061,Mandalay,Food and beverages,88.36,5,2019-01-25,Cash,9.6,2019,1,Friday,441.8,439.5272920761397,1.0051708004595687,2.272707923860301
848-62-7243,Yangon,Health and beauty,24.89,9,2019-03-15,Cash,7.4,2019,3,Friday,224.01,192.3287572996348,1.164724418465451,31.681242700365214
595-11-5460,Yangon,Health and beauty,96.58,2,2019-03-15,Credit card,5.1,2019,3,Friday,193.16,159.80282139045096,1.2087396099725076,33.357178609549024
183-56-6882,Naypyitaw,Food and beverages,99.42,4,2019-02-06,Ewallet,7.5,2019,2,Wednesday,397.68,388.5945618657451,1.023380250332463,9.085438134254911
232-16-2483,Naypyitaw,Sports and travel,68.12,1,2019-01-07,Ewallet,6.8,2019,1,Monday,68.12,14.685526180852897,4.638580814953392,53.43447381914711
129-29-8530,Yangon,Sports and travel,62.62,5,2019-03-10,Ewallet,7.0,2019,3,Sunday,313.09999999999997,165.849955998368,1.8878509681551014,147.25004400163198
